warehouse_id,postcode,prefix,note
1,2299,0,Client import NSW
1,2300,0,Client import NSW
1,2302,0,Client import NSW
1,2303,0,Client import NSW
1,2304,0,Client import NSW
1,2305,0,Client import NSW
1,2306,0,Client import NSW
1,2307,0,Client import NSW
1,2308,0,Client import NSW
1,2309,0,Client import NSW
1,2311,0,Client import NSW
1,2312,0,Client import NSW
1,2315,0,Client import NSW
1,2316,0,Client import NSW
1,2317,0,Client import NSW
1,2318,0,Client import NSW
1,2319,0,Client import NSW
1,2320,0,Client import NSW
1,2321,0,Client import NSW
1,2322,0,Client import NSW
1,2323,0,Client import NSW
1,2324,0,Client import NSW
1,2325,0,Client import NSW
1,2326,0,Client import NSW
1,2327,0,Client import NSW
1,2328,0,Client import NSW
1,2329,0,Client import NSW
1,2330,0,Client import NSW
1,2333,0,Client import NSW
1,2334,0,Client import NSW
1,2335,0,Client import NSW
1,2336,0,Client import NSW
1,2337,0,Client import NSW
1,2338,0,Client import NSW
1,2339,0,Client import NSW
1,2340,0,Client import NSW
1,2341,0,Client import NSW
1,2342,0,Client import NSW
1,2343,0,Client import NSW
1,2344,0,Client import NSW
1,2345,0,Client import NSW
1,2346,0,Client import NSW
1,2347,0,Client import NSW
1,2350,0,Client import NSW
1,2352,0,Client import NSW
1,2353,0,Client import NSW
1,2354,0,Client import NSW
1,2355,0,Client import NSW
1,2356,0,Client import NSW
1,2357,0,Client import NSW
1,2358,0,Client import NSW
1,2359,0,Client import NSW
1,2360,0,Client import NSW
1,2361,0,Client import NSW
1,2365,0,Client import NSW
1,2369,0,Client import NSW
1,2370,0,Client import NSW
1,2371,0,Client import NSW
1,2372,0,Client import NSW
1,2379,0,Client import NSW
1,2380,0,Client import NSW
1,2381,0,Client import NSW
1,2382,0,Client import NSW
1,2386,0,Client import NSW
1,2387,0,Client import NSW
1,2388,0,Client import NSW
1,2390,0,Client import NSW
1,2395,0,Client import NSW
1,2396,0,Client import NSW
1,2397,0,Client import NSW
1,2398,0,Client import NSW
1,2399,0,Client import NSW
1,2400,0,Client import NSW
1,2401,0,Client import NSW
1,2402,0,Client import NSW
1,2403,0,Client import NSW
1,2404,0,Client import NSW
1,2405,0,Client import NSW
1,2406,0,Client import NSW
1,2408,0,Client import NSW
1,2409,0,Client import NSW
1,2410,0,Client import NSW
1,2411,0,Client import NSW
1,2415,0,Client import NSW
1,2420,0,Client import NSW
1,2421,0,Client import NSW
1,2422,0,Client import NSW
1,2423,0,Client import NSW
1,2424,0,Client import NSW
1,2425,0,Client import NSW
1,2426,0,Client import NSW
1,2427,0,Client import NSW
1,2428,0,Client import NSW
1,2429,0,Client import NSW
1,2430,0,Client import NSW
1,2431,0,Client import NSW
1,2439,0,Client import NSW
1,2440,0,Client import NSW
1,2441,0,Client import NSW
1,2443,0,Client import NSW
1,2444,0,Client import NSW
